칵테일,술,재료(과일),재료(음료),재료(허브),기타,비고,도수,레시피
김렛,진,라임,,,설탕시럽,,22%,"1. 쉐이커 드라이진 45, 설탕시럽 10, 라임반개 착즙 쉐이킹
2. 칵테일잔, 라임휠"
네그로니,"진, 스윗 베르뭇, 캄파리",오렌지,,,,,29%,"1. 온더락잔 진 30, 스윗베르뭇 30, 캄파리 30, 오렌지껍질"
다이키리,화이트 럼,라임,,,설탕시럽,,22%,"1. 쉐이커 바카디 45, 라임착즙 15, 설탕시럽 10 얼음 쉐이킹
2. 칵테일잔 라임슬라이스"
데킬라 선라이즈,실버데킬라,,오렌지주스,,그레나딘 시럽,,8~10%,"1. 롱드링크 얼음, 데킬라 45, 오렌지주스 80~90퍼센트, 그레나딘시럽 얼음피해 15"
롭로이,"조니워커 블랙루비, 스윗 베르뭇, 앙고스투라 비터스",체리,,,,,,"1. 온더락잔 조니워커 블랙루비 50, 스윗베르뭇 15, 앙고스투라비터 3dash, 얼음 저어서 섞기
2. 칵테일잔 체리"
롱비치아이스티,"보드카, 진, 화이트 럼, 실버데킬라, 트리플섹",레몬,크렌베리주스,,설탕시럽,,,"1. 쉐이커 진 15, 보드카 15, 럼 15, 데낄라 15, 트리플섹 15, 설탕시럽 22.5, 레몬반개 쉐이킹
2.롱드링크잔 따르고 크렌베리주스"
롱아일랜드 아이스티,"진, 보드카, 화이트 럼, 실버데킬라, 트리플섹",레몬,콜라,,설탕시럽,,,"1. 쉐이커 진 15, 보드카 15, 럼 15, 데킬라 15, 트리플섹 15, 설탕시럽 22.5, 레몬 반개 착즙 쉐이킹
2. 롱드링크잔에 따르고 콜라, 레몬슬라이스"
마가리타,"실버데킬라, 코인트로",라임,,,소금,,,"1. 칵테일잔 테두리 라임, 소금
2. 쉐이커 데킬라 50, 코인트로 20, 라임반개 착즙 쉐이킹
3. 칵테일잔"
멕시콜라,데킬라,,펩시라임,,라임즙,,,"1. 롱드링크잔 호세쿠엘보 레포사도 45ml, 제로라임 가득"
모던 메디슨,"버번위스키, 피트위스키, 아페롤, 앙고스투라 비터스",레몬,,,설탕시럽,,,"1. 쉐이커 얼음, 버번 45, 아페롤 15, 레몬즙 22.5, 설탕시럽 15, 앙고스투라비터 2dash 쉐이킹
2. 온더락잔 얼음, 피트 5~10미리 플로팅, 레몬껍질"
모스코뮬,보드카,라임,진저비어,민트,,,,"1. 구리머그잔 얼음, 보드카 45, 라임반개 착즙, 진저비어 가득, 스터
2. 착즙라임 올리고 토칭, 애플민트"
모히또,화이트 럼,라임,탄산수,민트,설탕,,,"1. 롱드링크잔 민트, 라임1/4, 설탕 2tsp 머들러로, 바카디 60, 얼음, 탄산수 가득"
민트 줄렙,"버번위스키, 앙고스투라 비터스",,,민트,설탕시럽,,,"1. 은, 구리잔 애플민트 8장, 설탕시럽 20, 머들러 살짝, 간얼음, 앙고스투라비터 2dash, 버번 60, 민트장식"
바탕가,실버데킬라,라임,펩시라임,,소금,,,"1. 롱드링크잔 테두리 라임, 소금
2. 얼음, 소금 한꼬집, 실버데낄라 45ml, 라임반개 착즙, 펩시라임 가득
3. 스터, 착즙 라임 데코"
보드카 선라이즈,보드카,,오렌지주스,,그레나딘 시럽,,14,"1. 롱드링크잔 얼음, 보드카 45, 오렌지주스 가득, 그레나딘 15"
불바디에,"버번위스키, 스윗 베르뭇, 캄파리",오렌지,,,,,33,"1. 온더락잔 얼음, 버번 45, 캄파리 30, 스윗베르뭇 30, 오렌지껍질"
블랙러시안,"보드카, 깔루아",,,,,,,"1. 온더락잔 보드카 60, 깔루아 30"
블랙와치,"조니워커 블랙루비, 깔루아",,,,,,,"1. 믹싱글라스 조니 더블블랙 45, 깔루아 15 저어주고 온더락"
비즈니스,진,,,로즈마리,"레몬즙, 꿀, 훈연칩",,,"1. 온더락잔 우드칩으로 훈연
2. 쉐이커 드라이진 60, 꿀:물 1:1로 22.5, 레몬즙 22.5 얼음 쉐이킹
3. 훈연잔에 얼음 걸러 따라주고 돌려주며 향입히기
4. 칵테일잔에 따르고 로즈마리 살짝 태워서 올리기"
비터 진,"싱글몰트 위스키, 피트위스키, 크렘 드 카시스, 스윗 베르뭇, 앙고스투라 비터스",체리,,,,,25,"1. 믹싱글라스 싱글몰트 60, 피트 10, 크렘드카시스 15, 스윗베르뭇 22.5, 앙고스투라비터 4dash 스터
2. 칵테일잔, 마라스키노 체리"
비트윈더시트,"화이트 럼, 꼬냑, 트리플섹",,,,레몬즙,,26,"1. 쉐이커 화이트럼 30, 꼬냑30, 트리플섹 30, 레몬즙 20, 쉐이킹
2. 칵테일잔, 레몬장식"
사우스사이드,진,라임,,민트,설탕시럽,,,"1. 쉐이커 민트8장, 진 60, 라임착즙 25, 설탕시럽 15 쉐이킹 칵테일잔"
사이드카,"꼬냑, 코인트로",레몬,,,,,,"1. 쉐이커 브랜디or꼬냑 50, 코인트로 20, 레몬반개 착즙(20ml) 쉐이킹 
2. 칵테일잔 오렌지껍질 향"
세인트 클레멘스,진,레몬,"오렌지주스, 토닉",,레몬즙,,8.5%,"1. 쉐이커 드라이진 40, 오렌지주스 30, 레몬즙 10 얼음 쉐에킹
2. 하이볼잔 따르고 토닉워터, 오렌지껍질 즙"
섹스온더비치,"보드카, 피치트리","오렌지, 체리","오렌지주스, 크렌베리주스",,,,,"1. 쉐이커 보드카 50, 오렌지주스 50, 피치트리 20 쉐이킹
2. 허리케인글라스 얼음, 크렌베리주스 먼저, 오렌지 슬라이스"
아페롤 스프리츠,"프로세코, 아페롤",오렌지,탄산수,,,,9%,"1. 와인잔 얼음으로 칠링, 단맛없는 스파클링와인, 아페롤 탄산수 5:4:1
2. 스터, 오렌지 슬라이스"
아페롤입문,"아페롤, 진, 앙고스투라 비터스",레몬,,,설탕시럽,,14,"1. 쉐이커에 아페롤 60, 진 30, 레몬반개 착즙, 설탕시럽 7.5, 앙고스투라비터 1dash 쉐이킹
2. 칵테일잔, 레몬껍질, 장식"
올드패션드,"앙고스투라 비터스, 버번위스키","오렌지, 체리",물,,설탕,,,"1. 온더락잔 각설탕, 앙고스투라비터 3 dash, 물 1tsp 머들러로 설탕 빻기, 얼음, 버번 60ml
2. 오렌지 껍질 즙, 마라스키노체리"
위스키사워,"버번위스키, 앙고스투라 비터스",,,,"설탕시럽, 레몬즙, 계란흰자",,,"1. 쉐이커 버번 60, 설탕시럽 22.5, 레몬즙 22.5, 계란흰자, 얼음 쉐이킹
2. 잔에 따르고 거품기로
3. 칵테일잔에"
존콜린스,진,"오렌지, 체리",탄산수,,설탕시럽,,,"1. 롱드링크잔 얼음, 진 45, 설탕시럽 15, 레몬즙 15 저어주고 나머지 탄산
2. 오렌지, 체리"
존콜린스(버번),버번위스키,"오렌지, 체리",탄산수,,설탕시럽,,,"1. 롱드링크잔 얼음, 버번 45, 설탕시럽 15, 레몬즙 15 저어주고 나머지 탄산
2. 오렌지, 체리"
카미카제,"보드카, 트리플섹",라임,,,,,,"1. 쉐이커 보드카 45, 트리플섹 15, 라임반개 착즙 쉐이킹
2. 칵테일잔, 라임슬라이스"
카이피로스카,보드카,라임,,,설탕시럽,,,"1. 라임1개 8등분, 흰색 심지 제거
2. 온더락잔 라임, 설탕 2tsp, 빻기, 보드카 60, 간얼음"
카이피리냐,카샤사,라임,,,설탕,,,"1. 라임1개 8등분, 흰색 심지 제거
2. 온더락잔 라임, 설탕시럽 30, 빻기, 카샤사 60, 간얼음"
카이피리시마,화이트 럼,라임,,,설탕,,,"1. 라임1개 8등분, 흰색 심지 제거
2. 온더락잔 라임, 설탕시럽 15, 빻기, 럼 60, 간얼음"
칸찬차라,화이트 럼,라임,,,꿀,,24%,"1. 쉐이커 허니시럽 20, 라임반개착즙, 얼음, 쿠바럼 60 쉐이킹
2. 온더락잔에 얼음까지"
코스모폴리탄,"보드카, 코인트로",라임,크렌베리주스,,,칵테일을 잘 모른다면 추천,15%,"1. 보드카 30, 코인트로 15, 크렌베리주스 45, 라임반개 착즙, 얼음, 쉐이킹
2. 칵테일잔, 라임슬라이스 데코"
쿠바리브레,화이트 럼,,펩시라임,,,,,"1. 롱드링크잔 제로라임펩시:바카디 3:1, 라임 1/8조각"
화이트러시안,"보드카, 깔루아",,우유,,,,,"1. 온더락잔 보드카 60, 깔루아 30
2. 다른컵 우유 60 거품기로 거품
3. 블랙러시안에 천천히"
화이트레이디,"진, 코인트로",레몬,,,,,,"1. 쉐이커 드라이진 40, 코인트로(트리플섹) 20, 레몬 착즙 20 얼음 쉐이킹
2. 칵테일잔"
B-52,"깔루아, 베일리스, 코인트로, 화이트 럼",,,,,,,"1. 샷잔에 깔루아, 베일리스, 코인트로, 럼을 순서대로 층지게 따른다
2. 럼에 불쇼"
XYZ,"화이트 럼, 코인트로",레몬,,,,,,"1. 쉐이커 화이트럼 45ml, 코인트로 22.5ml, 레몬 반개 착즙 쉐이킹
2. 칵테일잔"